"How many hours of programming are you doing per week on average",,,"What programming languages do you use?",,,"What Version Control System do you primarily use?","If your primary work involves programming, then the company that you work at","What IDE or editor do you primarily use for programming?","If you use more than one IDE, what other IDE/editors do you commonly use?",,,"Name other IDE/editors that you have used before",,,"What features do you value the most in your primary editor?","What kind of programming language integration do you value the most in your primary editor?","What features would you like to have in your editor that it doesn't have?","How customized is your editor?","What are the primary reasons that you use editors/IDEs other than your primary?","How do you primarily use your Version Control System?","What are the reasons you are not switching to a different IDE/editor?","If your primary editor/IDE suddenly disappears, what editor/IDE would you use instead?","Have you ever used commercial IDE or editor?","Would you consider using a commercial IDE or editor?","What kind of programming language integration do you value the most in your primary editor?","What kind of programming language integrations would you like to have or have improved in your editor?","If you would be willing to buy a commercial IDE or editor yourself, how much would you be willing to pay for it?"
15,3,3,"Fortran","Python","C","Mercurial","I am a researcher","Emacs","nano",,,"gedit","sublime text",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It intergrates to build tool(s) that I use","Syntax highlighting, Code formatting, Interactive console/REPL","kitchen sink","There is some configuration and couple of third-party plugins","It's faster to use for small editing, doen't leave the ~ files around","Directly through terminal","I don't feel like switching at all, Other editors support programming languages that I use worse, Other editors lack some features that my editor have","sublime text","No, but I tried trial versions","No",,"Interactive console/REPL",
37.5,-1,10,"Java","CoffeeScript","JavaScript","git","Is primarily doing programming ","Eclipse","TextWrangle",,,"Visual Studio",,,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Refactoring","It starts up and works very fast, It intergrates to build tool(s) that I use, Build tools integration ","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor, It doesn't build project on every save","From some other application","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","IntelliJ","Yes, my employer bought it","Yes, if my employer buys it for me",,"Debugging, Code generation, Build tool(s) integration",
0,6,1,"Python","Erlang","Matlab","git","I am a student or unemployed","VIM","gedit","nano",,"Komodo IDE","Zend Studio","Programmer's Notepad","It supports many programming languages, There are lots of plugins available, It starts up and works very fast","Syntax highlighting, Auto-completion, Code formatting","It has advanced language intergration (eg auto-completion, refactoring, building), It doesn't need to be configured much to be usable","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better, It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Too much effort learning new editors, Too much effort configuring new editors","Emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Auto-completion, Code formatting",
40,2,5,"Javascript","C#","Actionscript","Git","Does programming as part of it's core activities ","WebStorm",,,,"Eclipse","NetBeans","VisualStudio","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It intergrates with version control system","Syntax highlighting, Auto-completion, Code formatting","It supports many programming languages, Powerful editing functionality, It starts up and works very fast","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","NetBeans","Yes, I have personally bought it","Yes, if my employer buys it for me",,"Refactoring, Code generation, Test integration",
10,0,12,"Objective-C","Python","Javascript","git","Sometimes supports other activities with programming or IT","XCode","Emacs","Gedit",,"vi","ed","nano","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance","It's almost the same from the stock configuration","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","From the primary editor","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have","Emacs","No, never","Yes, I would buy it myself",,"Code generation",
40,0,4,"common lisp","emacs lisp",,"git","Is primarily doing programming ","emacs",,,,"vim",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins",,"From the primary editor","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","nano","No, never","Yes, I would buy it myself",,"Refactoring",
50,10,5,"Java","Objective-C","JavaScript","git","Is primarily doing programming ","Eclipse","Xcode","PhpStorm",,"Emacs","Netbeans",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It starts up and works very fast","Refactoring, Debugging, Documentation for language or libraries inside the editor","Support for many programming languages, Rich plugins ecosystem, Integration with version control system","It's almost the same from the stock configuration","It supports the build tools or building proccess that I use better","Directly through terminal","My workflow is too integrated into my current editor, Too much effort learning new editors, Too much effort configuring new editors","PhpStorm","Yes, I have personally bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Refactoring",
15,0,5,"Clojure","Python","C++","git","Does programming as part of it's core activities ","Emacs","vim",,,"Eclipse","Visual Studio",,"Powerful editing functionality, composability: components that work together à la most Emacs modes","Syntax highlighting, Auto-completion, Code formatting","threads","There is some configuration and couple of third-party plugins","I use it for editing code on remote servers, for the exercise","Directly through terminal","I don't feel like switching at all","vim","No, but I tried trial versions","Yes, if my employer buys it for me",,"Test integration, Build tool(s) integration, Interactive console/REPL",
30,5,0,"C++","Fortran","MATLAB","TortoiseSVN","Is primarily doing programming ","MS Visual Studio 2010",,,,,,,"Powerful editing functionality, It doesn't need to be configured much to be usable","Debugging, Build tool(s) integration","Advanced language intergration (eg auto-completion, refactoring, building), Faster start up and overall performance","There is some configuration and couple of third-party plugins",,"From some other application","My workflow is too integrated into my current editor","VIM","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Code formatting",
30,0,2,"Clojure","Python","C","git","Does programming as part of it's core activities ","Emacs","Eclipse",,,,,,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","no idea","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all","No idea","No, but I tried trial versions","Yes, I would buy it myself",,"Refactoring, Code generation",
10,2,2,"Python","sh","golang","git","Does programming as part of it's core activities ","vim",,,,"emacs","eclipse",,"It starts up and works very fast, It can be used it in terminal, It is very configurable","Syntax highlighting, Code formatting, Test integration","Advanced language intergration (eg auto-completion, refactoring, building), Faster start up and overall performance, Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","another vi-variant","No, but I tried trial versions","No",,"Syntax highlighting, Code formatting, Refactoring",
15,15,15,"python","js","shell","git","I am a student or unemployed","geany",,,,,,,"It supports many programming languages, It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building), Powerful editing functionality, Rich plugins ecosystem","It's almost the same from the stock configuration",,"Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","subl","No, never","Yes, if my employer buys it for me",,"Auto-completion, Refactoring, Debugging",
10,5,10,"python","c++","java","debian","Does programming as part of it's core activities ","sublime","vi","qt dev","kate","emacs","eclipse",,"It starts up and works very fast, It can be used in terminal, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting, Test integration","Support for many programming languages, Rich plugins ecosystem, Integration with version control system","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Auto-completion, Debugging, Documentation for language or libraries inside the editor",
40,0,5,"Clojure","Haskell","JavaScript","git","Is primarily doing programming ","Emacs","Vim",,,"Eclipse","Notepad",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It can be used in terminal","Syntax highlighting, Auto-completion, Interactive console/REPL","Better default configuration","There is some configuration and couple of third-party plugins","It's better for editing text.","Directly through terminal","Other editors don't support my languages of choice very well, My workflow is too integrated into my current editor","Vim","No, but I tried trial versions","Yes, I would buy it myself",,"Code formatting, Refactoring, Debugging",
25,2,4,"C++","Clojure","Common Lisp","git","Is primarily doing programming ","Emacs",,,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It is very configurable","Code formatting, Interactive console/REPL, Documentation for language or libraries inside the editor","?","It is extensively configured and I have lots of third-party plugins","I don't use other editors.","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort learning new editors","Hemlock","Yes, my employer bought it","Yes, I would buy it myself",,"Code formatting, Documentation for language or libraries inside the editor",
37.5,0,4,"Java","Python","C++","git","Does programming as part of it's core activities ","Emacs",,,,"Eclipse","Borland IDE (during DOS days)","vi","Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","My workflow is too integrated into my current editor","vi","Yes, my employer bought it","No",,"Code formatting, Refactoring, Documentation for language or libraries inside the editor",
25,0,10,"Clojure","Lua","Python","Git","Does programming as part of it's core activities ","Emacs","Sublime Text","Vim",,"Visual Studio","Eclipse",,"Powerful editing functionality, It can be used in terminal, Powerful search & discovery tools; (could be part either of powerful editing or adv. lang. integration)","Code formatting, Interactive console/REPL, Semantics searching capabilities","Advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better, It's faster to use for small editing, Curiosity","Directly through terminal","No point; it is the same wasteland everywhere else as well","Sublime Text","Yes, my employer bought it","Yes, I would buy it myself",,"Auto-completion, Test integration, Documentation for language or libraries inside the editor",
40,8,1,"Java","ABSL","Javascript","Git","Does programming as part of it's core activities ","Sublime Text","Eclipse","Visual Studio",,"Netbeans",,,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Code formatting","Tools to navigate the code (go to definition, find uses), Faster start up and overall performance, Configurability","It's almost the same from the stock configuration","It's faster to use for small editing","From some other application","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort configuring new editors","Notepad++","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Refactoring, Code generation",5
35,5,5,"C++","C","Haskell","svn, git","Is primarily doing programming ","qt-creator","vim",,,"Visual Studio","Netbeans","Eclipse","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Code formatting","Support for many programming languages, Rich plugins ecosystem, Integration with version control system","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal, It's faster to use for small editing","From some other application","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","vim","Yes, my employer bought it","No",,"Debugging, Code generation, Test integration",25
30,0,0,"clojure","haskell",,"git","Does programming as part of it's core activities ","emacs",,,,"netbeans",,,"It supports many programming languages, There are lots of plugins available, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting, Interactive console/REPL","Advanced language intergration (eg auto-completion, refactoring, building), Integration with version control system, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My workflow is too integrated into my current editor","ed","No, never","No",,"Code formatting, Test integration, Build tool(s) integration",50
20,0,0,"javascript",,,"svn","Does programming as part of it's core activities ","sublime text 3",,,,"eclipse","visual studio","cf studio","It provides good tools for navigating the code (eg. go to definition, find uses), It starts up and works very fast, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","From some other application","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort learning new editors","eclipse","Yes, I have personally bought it","Yes, I would buy it myself",,"Refactoring, Test integration",100
20,0,5,"C++","C","Rust","git","Is primarily doing programming ","Vim","Visual Studio",,,"Emacs",,,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Auto-completion, Code formatting, Documentation for language or libraries inside the editor","Advanced language intergration (eg auto-completion, refactoring, building), Tools to navigate the code (go to definition, find uses), Integration with version control system","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, Visual Studio IntelliSense","Directly through terminal","I don't feel like switching at all","Emacs","Yes, my employer bought it","No",,"Auto-completion, Refactoring, Debugging",
40,0,20,"C / C++","Javascript","Clojure","git","Is primarily doing programming ","Vim","Emacs","IDEA","Eclipse","Netbeans","Sublime",,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","Advanced language intergration (eg auto-completion, refactoring, building), Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","Emacs","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code formatting, Debugging",50
30,0,2,"Perl","Groovy","Java","Subversion","Sometimes supports other activities with programming or IT","Vim","Eclipse","Sublime Text",,"IntelliJ IDEA","Notepad++",,"Powerful editing functionality, It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Too much effort learning new editors, Too much effort configuring new editors","Eclipse","No, but I tried trial versions","Yes, if my employer buys it for me",,"Build tool(s) integration",50
40,2,3,"C++","Python","bash","subversion","Does programming as part of it's core activities ","gvim","vim","gedit","visual studio","Qt Creator","spider","Eclipse","It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Is there anything vim cant do?","It is extensively configured and I have lots of third-party plugins","It supports the build tools or building proccess that I use better","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have, My fingers know what to do in vim.","Use another vi clone.","Yes, my employer bought it","No",,"Build tool(s) integration",
0,14,21,"C","C++","x86 Assembly","Git","I am a student or unemployed","vim",,,,"emacs","Visual Studio","Qt Creator","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Code generation","none","It is extensively configured and I have lots of third-party plugins",,"From the primary editor","I don't feel like switching at all, Other editors lack some features that my editor have","emacs","No, never","Yes, if my employer buys it for me",,"none",100
0,0,5,"Scala","Java","C++","git","My primary job is something else than programming","vim","Eclipse",,,"Visual C++","Qt",,"It has advanced language integration (eg auto-completion, refactoring, building), It starts up and works very fast, It can be used in terminal","Syntax highlighting, Auto-completion, Code formatting","Advanced language intergration (eg auto-completion, refactoring, building)","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have","emacs","No, but I tried trial versions","Yes, I would buy it myself",,"Auto-completion, Refactoring, Code generation",50
40,0,0,"Python","C++","C#","TFS","Does programming as part of it's core activities ","WingIDE","Visual Studio","Notepad++",,"PythonWin","Dev Studio","Multi Edit","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","better Macros","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","From some other application","I don't feel like switching at all","Notepad++","Yes, I have personally bought it","Yes, I would buy it myself",,"better Macros",50
40,0,4,"Clojure","Python",,"git","Does programming as part of it's core activities ","Emacs",,,,"vim","TextMate","Eclipse","Powerful editing functionality, It can be used in terminal, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","Better default configuration","It is extensively configured and I have lots of third-party plugins","It's faster to use for small editing","From the primary editor","Other editors lack some features that my editor have, My workflow is too integrated into my current editor","vim","Yes, my employer bought it","Yes, if my employer buys it for me",,"emacs has all of this",
25,0,0,"Java","Python","bash","SVN","I am a researcher","Eclipse",,,,"IDEA","Gedit","Netbeans","It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Refactoring","Faster start up and overall performance","There is some configuration and couple of third-party plugins","It has some tools unavailable in my primary","From the primary editor","My workflow is too integrated into my current editor, Too much effort learning new editors, Too much effort configuring new editors","IDEA","No, but I tried trial versions","No",,"Code generation",50
40,1,1,"c#","javascript",,"subversion","Does programming as part of it's core activities ","Visual Studio","Notepad++",,,"Eclipse",,,"It has advanced language integration (eg auto-completion, refactoring, building), It provides good tools for navigating the code (eg. go to definition, find uses), There are lots of plugins available","Auto-completion, Code formatting, Refactoring","Powerful editing functionality, Faster start up and overall performance, Integration to build tool(s) that I use","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","From one of the non-primary editors","My workflow is too integrated into my current editor","SharpDevelop","Yes, my employer bought it","Yes, if my employer buys it for me",,"Code formatting, Refactoring, Build tool(s) integration",50
50,0,10,"JavaScript","PHP","ObjectiveC","Git","Is primarily doing programming ","NetBeans","VIM","XCode",,"Eclipse","IDEA",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Refactoring","Support for many programming languages, Powerful editing functionality, Faster start up and overall performance","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors don't support my languages of choice very well, Other editors lack some features that my editor have, Too much effort configuring new editors","IDEA","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Debugging",25
40,10,10,"Common Lisp","Python","C","git","Is primarily doing programming ","Emacs","vim",,,,,,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","Tools to navigate the code (go to definition, find uses)","It is extensively configured and I have lots of third-party plugins","It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","I don't feel like switching at all","vim","No, never","No",,"Auto-completion, Code formatting, Documentation for language or libraries inside the editor",
40,10,10,"Go","JavaScript","CommonLisp","git","Is primarily doing programming ","vim",,,,"Emacs","Visual Studio","XCode","It can be used in terminal, It is very configurable, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting, Interactive console/REPL","better integration into other, non-development tools","There is some configuration and couple of third-party plugins",,"Directly through terminal","Other editors lack some features that my editor have","Emacs w/evil","Yes, my employer bought it","No",,"all are quite good",
0.5,4,8,"Haskell","Python","C++","Git","Is primarily doing programming ","vim",,,,"Eclipse","Visual Studio Express",,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Code formatting","Proper Emacs-style REPL","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It supports the build tools or building proccess that I use better","From the primary editor","Other editors lack some features that my editor have, Too much effort learning new editors, Too much effort configuring new editors","Emacs","No, but I tried trial versions","Yes, if my employer buys it for me",,"Auto-completion",25
20,3,2,"Java",,,"git","Is primarily doing programming ","eclipse",,,," ",,,"It has advanced language integration (eg auto-completion, refactoring, building), There are lots of plugins available, It doesn't need to be configured much to be usable","Syntax highlighting, Auto-completion, Code formatting","Faster start up and overall performance, Integration to build tool(s) that I use, Better default configuration","It's almost the same from the stock configuration","It's faster to use for small editing","From the primary editor","My workflow is too integrated into my current editor","intellij","Yes, my employer bought it","Yes, I would buy it myself",,"Build tool(s) integration, Interactive console/REPL, Documentation for language or libraries inside the editor",50
30,10,5,"Python","C","Java","git","Does programming as part of it's core activities ","vim","IDEA",,,"Eclipse","Netbeans","Sublime Text","It supports many programming languages, Powerful editing functionality, It can be used in terminal","Syntax highlighting, Code formatting, Refactoring","Better default configuration","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors lack some features that my editor have","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Debugging, Build tool(s) integration",100
40,0,10,"Ruby","Javascript","Python","git","Is primarily doing programming ","vim",,,,"GNU Text Edit","Notepad++",,"It starts up and works very fast, It can be used in terminal, It is very configurable","Syntax highlighting, Code formatting","Tools to navigate the code (go to definition, find uses)","There is some configuration and couple of third-party plugins","I use it in Windows","Directly through terminal","I don't feel like switching at all, Other editors lack some features that my editor have","vi","No, but I tried trial versions","Yes, if my employer buys it for me",,"Auto-completion, Debugging, Interactive console/REPL",5
45,0,10,"C#","Ruby","Javascript","Git","Does programming as part of it's core activities ","Visual Studio",,,,"Netbeans","Eclipse","MonoDevelop","It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It provides good tools for navigating the code (eg. go to definition, find uses)","Syntax highlighting, Auto-completion, Debugging","Faster start up and overall performance, Ability to use it in terminal, Better default configuration","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor","Directly through terminal","Other editors don't support my languages of choice very well","MonoDevelop","Yes, my employer bought it","Yes, if my employer buys it for me",,"Build tool(s) integration, Interactive console/REPL",100
80,0,80,"Python","Coffeescript","LaTeX","git","Is primarily doing programming ","Sublime Text 3","MacVim","vim","vi",,,,"There are lots of plugins available, It starts up and works very fast, It is very configurable","Syntax highlighting, Code formatting","Better default configuration","It is extensively configured and I have lots of third-party plugins","It can be used from terminal","Directly through terminal","Other editors lack some features that my editor have, Too much effort learning new editors","MacVim","Yes, I have personally bought it","Yes, I would buy it myself",,"Syntax highlighting, Code formatting",50
